47,"By selling an article for $300, a merchant makes a 25% profit on cost. What was the original cost price?",Aptitude,240
48,"In a certain code, 'ROAD' is written as 'URDG'. How is 'SWAN' written in that code?",Reasoning,VZDQ
49,"The perimeter of a square is 36 cm. What is its area in square cm?",Math,81
50,"What belongs to you, but other people use it much more than you do?",Riddle,name
51,"What data structure operates strictly on a First-In, First-Out (FIFO) basis?",Coding,queue
52,"The sum of ages of father and son is 50. Five years ago, father was 7 times as old as his son. What is the current age of the son?",Aptitude,10
53,"A is B's sister. C is B's mother. D is C's father. E is D's mother. Then, how is A related to D?",Reasoning,granddaughter
54,"What is the sum of the interior angles of a regular hexagon in degrees?",Math,720
55,"I have an eye, but cannot see. I am strong enough to hold things together, but thin enough to break. What am I?",Riddle,needle
56,"What is the worst-case time complexity of QuickSort in Big-O notation?",Coding,O(n^2)
57,"If A:B = 2:3 and B:C = 4:5, find the ratio A:C. (Write as x:y)",Aptitude,8:15
58,"Which one does NOT belong to the group? Iron, Copper, Mercury, Silver, Aluminum",Reasoning,mercury
59,"What is 25^2 - 24^2?",Math,49
60,"If you drop a yellow hat in the Red Sea, what does it become?",Riddle,wet
61,"What has a head and a tail but no body?",Riddle,coin
62,"What is the output of: print(list(range(10, 0, -2)))",Coding,"[10, 8, 6, 4, 2]"
63,"A sum of money doubles itself in 8 years at simple interest. In how many years will it become 4 times itself?",Aptitude,24
64,"Statement: All pens are pencils. All pencils are erasers. Conclusion: All pens are erasers. Is this conclusion valid? (Yes/No)",Reasoning,Yes
65,"What is the sum of the first 10 prime numbers?",Math,169
66,"The more you feed it, the more it grows, but if you give it water, it dies. What am I?",Riddle,fire
67,"What is the time complexity of building a heap (heapify) from n elements in Big-O notation?",Coding,O(n)
68,"A can do a piece of work in 10 days, B in 15 days. They work together for 2 days, then A leaves. In how many more days will B alone finish the remaining work?",Aptitude,10
69,"In a row of children, A is 7th from the left and 12th from the right. How many children are there in total?",Reasoning,18
70,"In how many ways can the letters of the word 'MISSISSIPI' be arranged without repetition?",Math,34650
71,"What invention lets you see right through a wall?",Riddle,window
72,"Germany:Berlin :: Egypt: ? ",Reasoning,Cairo
73,"A sum of $6000 is divided among A, B, and C in the ratio 2:3:5. What is C's share in dollars?",Aptitude,3000
74,"Pointing to a woman, a man says, 'Her mother is the only daughter of my father's wife.' How is the man related to the woman?",Reasoning,uncle
75,"What is the compound interest on $10,000 at 10% per annum for 2 years, compounded annually?",Math,2100
76,"What kind of room has no doors or windows?",Riddle,mushroom
77,"What does f(6) return? def f(n): return n if n < 2 else f(n-1) + f(n-2)",Coding,8
78,"The average of 11 numbers is 50. The average of the first 6 numbers is 49 and the average of the last 6 numbers is 52. What is the 6th number?",Aptitude,56
79,"Statement: Some doctors are fools. No fool is a genius. Conclusion I: No doctor is a genius. Conclusion II: Some doctors are not geniuses. Which conclusion follows?",Reasoning,Conclusion II
80,"What is the next letter? 'O, T, T, F, F, S, S, E, ?'",Reasoning,N
81,"What is the only number whose letters are in alphabetical order?",Riddle,forty
82,"What is the space complexity of merge sort in Big-O notation?",Coding,O(n)
83,"A train crosses a platform 200 m long in 30 seconds and crosses a pole in 15 seconds. What is the length of the train in meters?",Aptitude,200
84,"A is the brother of B. B is the sister of C. C is the father of D. How is A related to D?",Reasoning,uncle
85,"What is the sum of the interior angles of a regular 12-sided polygon (dodecagon), in degrees?",Math,1800
86,"What can you hold in your left hand but never in your right hand?",Riddle,right elbow
87,"What does print(type(1/2)) output in Python 3?",Coding,<class 'float'>
88,"The ages of A and B are in the ratio 3:5. After 9 years, the ratio becomes 3:4. What is B's present age?",Aptitude,15
89,"If the sum of two numbers is 45 and their difference is 15, what is the product of the two numbers?",Math,450
90,"Two dice are rolled. What is the probability that the sum is greater than 9? (Write in fraction e.g x/y)",Math,1/36
91,"What is so fragile that saying its name breaks it?",Riddle,silence
92,"Which sorting algorithm has a best-case time complexity of O(n) on a nearly sorted array?",Coding,insertion sort
93,"A shopkeeper marks up an item's price by 40% and then offers a 40% discount on the marked price. What is the overall percentage loss on the original cost price?",Aptitude,16% loss
94,"Find the odd one out: 3, 5, 11, 14, 17, 21",Reasoning,14
95,"What is the value of 15C3?",Math,455
96,"What has one head, one foot, and four legs?",Riddle,bed
97,"What starts with an E, ends with an E, but usually only contains a single letter?",Riddle,envelope
98,"A car travels the first half of a journey at 40 km/h and the second half at 60 km/h. What is the average speed for the whole journey in km/h?",Aptitude,48
99,"If 1st March 2024 was a Friday, what day of the week will 1st September 2027 be?",Reasoning,Wednesday
100,"What is the value of 1^2+2^2+3^2+...+10^2?",Math,385
